family,lat,lon,country,commodity
Li,-33.8667,116.0625,Australia,Greenbushes [Beryllium; Lithium; Niobium and Tantalum; Tin|Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal]
NiCo,-10.754,26.254,Democratic Republic of the Congo,Disele [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.741,25.375,Democratic Republic of the Congo,DIMA [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.739,26.398,Democratic Republic of the Congo,Kakanda [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.733,26.423,Democratic Republic of the Congo,Kababankola [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.725,26.348,Democratic Republic of the Congo,Mukondo [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.72,25.401,Democratic Republic of the Congo,Kamoto-KOV-Musonie-Mupine [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.7,25.467,Democratic Republic of the Congo,Dilala East [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.69,26.45,Democratic Republic of the Congo,Kabolela [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.677,25.477,Democratic Republic of the Congo,Kananga [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.65,25.505,Democratic Republic of the Congo,Mutoshi [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.624,25.909,Democratic Republic of the Congo,Kalukundi-Kii [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.58,26.19,Democratic Republic of the Congo,Tenke Fungurume [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.0,-170.0,Pacific Ocean,Cook Islands EEZ [Cobalt|Sea-floor Fe-Mn(-Ni-Cu-Co-Mo) nodules]
NiCo,-9.6828,148.9606,Papua New Guinea,Wowo Gap [Cobalt|Ni-Co laterite]
NiCo,-9.0,147.7,Papua New Guinea,Mambare [Cobalt|Ni-Co laterite]
NiCo,-8.3869,159.7139,Solomon Islands,Isabela Island [Cobalt|Ni-Co laterite]
NiCo,-7.7875,-49.3511,Brazil,Vila Oito [Cobalt|Ni-Co laterite]
NiCo,-6.9689,-49.2594,Brazil,Vale dos Sonhos [Cobalt|Ni-Co laterite]
NiCo,-6.8461,-49.325,Brazil,Serra do Tapa [Cobalt|Ni-Co laterite]
NiCo,-6.2364,-49.7503,Brazil,Vermelho [Cobalt|Ni-Co laterite]
NiCo,-6.2131,-52.8631,Brazil,Jacaré [Cobalt|Ni-Co laterite]
NiCo,-5.5256,145.1875,Papua New Guinea,Ramu [Cobalt|Ni-Co laterite]
NiCo,-3.7872,30.1878,Burundi,Musongati [Cobalt|Ni-Co laterite]
NiCo,-3.665,33.421,Tanzania,Dutwa [Cobalt|Ni-Co laterite]
NiCo,-3.5619,29.9108,Burundi,Waga [Cobalt|Ni-Co laterite]
NiCo,-3.2764,30.09,Burundi,Nyabikere [Cobalt|Ni-Co laterite]
NiCo,-3.0,83.0,Indian Ocean,Afanasiy-Nikitin seamount [Cobalt|Sea-floor Fe-Mn(-Co-Mo-REE) crusts]
NiCo,-2.867,30.583,Tanzania,Kabanga [Cobalt; Platinum-Group Elements|Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit]
NiCo,-2.7039,121.9278,Indonesia,La Sampala [Cobalt|Ni-Co laterite]
NiCo,-0.4947,127.9422,Indonesia,Halmahera/Weda Bay [Cobalt|Ni-Co laterite]
NiCo,-0.4522,129.8822,Indonesia,Gag Island [Cobalt|Ni-Co laterite]
NiCo,0.217,30.05,Uganda,Kilembe [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,3.2664,13.8131,Cameroon,Nkamouna [Cobalt|Ni-Co laterite]
NiCo,5.584,117.333,Malaysia,Tavai [Cobalt|Ni-Co laterite]
NiCo,7.7439,-7.6156,Côte d’Ivoire,Tiuba-Biankouma [Cobalt|Ni-Co laterite]
NiCo,8.587,117.405,Philippines,Rio Tuba [Cobalt|Ni-Co laterite]
NiCo,8.9675,117.975,Philippines,Ipilan [Cobalt|Ni-Co laterite]
NiCo,9.2842,125.5228,Philippines,Agata/Bolobolo/Karihatag [Cobalt|Ni-Co laterite]
NiCo,9.3911,118.1433,Philippines,Berong [Cobalt|Ni-Co laterite]
NiCo,9.5289,125.8275,Philippines,Taganito/Adlay [Cobalt|Ni-Co laterite]
NiCo,9.775,125.717,Philippines,Taganaan [Cobalt|Ni-Co laterite]
NiCo,9.8428,125.6194,Philippines,Nonoc [Cobalt|Ni-Co laterite]
NiCo,9.9181,125.6647,Philippines,Cagdianao [Cobalt|Ni-Co laterite]
NiCo,10.0,-140.0,Pacific Ocean,Clarion-Clipperton zone [Cobalt; Manganese|Sea-floor Fe-Mn(-Ni-Cu-Co-Mo) nodules and crusts]
NiCo,12.9422,121.0661,Philippines,Mindoro [Cobalt|Ni-Co laterite]
NiCo,15.0,160.0,Pacific Ocean,Prime crust zone [Cobalt|Sea-floor Fe-Mn(-Co-Mo-REE) crusts]
NiCo,15.4331,-89.6644,Guatemala,Sechol [Cobalt|Ni-Co laterite]
NiCo,15.7242,120.0414,Philippines,Acoje/Zambales [Cobalt|Ni-Co laterite]
NiCo,18.1264,-67.1578,Puerto Rico,Guanajibo [Cobalt|Ni-Co laterite]
NiCo,18.1919,-67.1006,Puerto Rico,Las Mesas [Cobalt|Ni-Co laterite]
NiCo,19.75,-14.383,Mauritania,Guelb Moghrein [Cobalt|Iron oxide-Cu-Au(Ag-U-REE-Co-Ni)]
NiCo,20.5392,-75.7186,Cuba,Pinares de Mayari [Cobalt|Ni-Co laterite]
NiCo,20.6025,-74.955,Cuba,Moa [Cobalt|Ni-Co laterite]
NiCo,20.6258,-74.8922,Cuba,Punta Gorda [Cobalt|Ni-Co laterite]
NiCo,20.6261,-75.5428,Cuba,Nicaro [Cobalt|Ni-Co laterite]
NiCo,21.0133,85.7394,India,Bhimatangar [Cobalt|Ni-Co laterite]
NiCo,21.0547,85.8169,India,Saruabil [Cobalt|Ni-Co laterite]
NiCo,21.0586,85.8564,India,Kansa [Cobalt|Ni-Co laterite]
NiCo,26.1,101.9,China,Lala [Cobalt|Iron oxide-Cu-Au(Ag-U-REE-Co-Ni)]
NiCo,26.117,103.167,China,Tangdan [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,27.333,-112.3,Mexico,Boleo [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,30.53,-6.91,Morocco,Bou Azzer [Cobalt|Polymetallic (Ag-Ni-Co-As-Bi)]
NiCo,30.667,102.0,China,Yangliuping [Cobalt; Platinum-Group Elements|Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit]
NiCo,34.334,100.238,China,Dur'ngoi [Cobalt|Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide]
NiCo,34.395,100.131,China,Deerni [Cobalt|Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide]
NiCo,34.6,-14.5,Atlantic Ocean,Unicorn [Cobalt|Sea-floor Fe-Mn(-Co-Mo-REE) crusts]
NiCo,35.2,-15.0,Atlantic Ocean,Nameless [Cobalt|Sea-floor Fe-Mn(-Co-Mo-REE) crusts]
NiCo,36.0,-15.0,Atlantic Ocean,MTR [Cobalt|Sea-floor Fe-Mn(-Co-Mo-REE) crusts]
NiCo,37.85,-6.183,Spain,Aguablanca [Cobalt; Platinum-Group Elements|Magmatic Ni-Cu(-Co-PGE) sulfide; Synorogenic]
NiCo,38.467,102.167,China,Jinchuan [Cobalt; Platinum-Group Elements|Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit]
NiCo,38.6164,27.7692,Turkey,Çaldag [Cobalt|Ni-Co laterite]
NiCo,40.267,-76.4,United States of America,Cornwall [Cobalt|Co in Fe-Cu-Co skarn]
