subtype,lat,lon
Cu_porphyry,40.8567,39.6531
Cu_porphyry,41.8333,27.6783
Cu_porphyry,41.9333,27.4500
Cu_porphyry,39.6000,27.1500
Cu_porphyry,40.4500,40.8833
Cu_porphyry,62.1106,-141.2119
Cu_porphyry,56.5167,-158.4000
Cu_porphyry,62.2167,-142.7333
Cu_porphyry,62.0333,-141.5833
Cu_porphyry,62.0511,-141.2181
Cu_porphyry,60.3531,-154.3150
Cu_porphyry,59.0194,-137.0833
Cu_porphyry,58.9875,-136.1028
Cu_porphyry,62.2058,-142.8419
Cu_porphyry,59.8983,-155.2956
Cu_porphyry,55.6250,-160.6669
Cu_porphyry,64.1333,-157.0500
Cu_porphyry,63.5208,-141.3236
Cu_porphyry,67.6333,-149.3333
Cu_porphyry,32.3569,-112.8653
Cu_porphyry,34.5858,-113.2119
Cu_porphyry,31.4319,-109.9014
Cu_porphyry,32.8667,-111.9500
Cu_porphyry,33.4000,-110.9500
Cu_porphyry,33.0653,-110.7961
Cu_porphyry,33.0600,-110.7453
Cu_porphyry,34.4989,-112.5800
Cu_porphyry,32.7500,-110.4800
Cu_porphyry,31.8694,-111.1200
Cu_porphyry,33.3328,-110.9442
Cu_porphyry,31.8300,-110.7600
Cu_porphyry,35.3667,-114.1500
Cu_porphyry,32.0986,-110.0650
Cu_porphyry,32.5239,-111.9047
Cu_porphyry,33.3422,-110.9031
Cu_porphyry,33.4200,-110.7400
Cu_porphyry,33.1100,-111.5800
Cu_porphyry,31.9833,-111.0667
Cu_porphyry,33.1036,-109.3611
Cu_porphyry,34.3689,-112.3519
Cu_porphyry,33.1167,-111.4167
Cu_porphyry,33.1636,-110.9831
Cu_porphyry,33.0361,-111.2161
Cu_porphyry,31.4900,-110.7200
Cu_porphyry,33.3000,-111.0833
Cu_porphyry,32.9547,-111.8161
Cu_porphyry,32.9333,-109.6000
Cu_porphyry,32.6997,-110.6778
Cu_porphyry,31.9667,-111.0167
Cu_porphyry,32.8833,-109.5333
Cu_porphyry,34.0800,-112.4600
Cu_porphyry,32.4000,-111.5000
Cu_porphyry,34.4803,-111.8653
Cu_porphyry,31.4511,-110.7461
