family,cell_lat,cell_lon,score_pct,nearest_anchor_lat,nearest_anchor_lon,nearest_km
NiCo,50.0,-128.0,98.7,47.58,-123.35,434.0
NiCo,52.0,-126.0,98.6,49.42,-121.83,410.0
NiCo,40.0,-86.0,98.6,41.94,-85.0,231.0
NiCo,58.0,-146.0,98.5,59.9,-144.42,230.0
NiCo,44.0,-130.0,98.5,42.67,-124.15,496.0
NiCo,46.0,-130.0,98.4,47.57,-123.35,535.0
NiCo,36.0,-124.0,98.4,35.81,-121.32,242.0
NiCo,46.0,-104.0,98.3,44.79,-107.49,304.0
NiCo,56.0,-140.0,98.3,57.88,-136.47,299.0
NiCo,40.0,-88.0,98.3,38.62,-90.19,243.0
NiCo,42.0,-130.0,98.2,42.35,-124.3,471.0
NiCo,50.0,-106.0,98.2,53.17,-107.77,373.0
NiCo,58.0,-148.0,98.2,60.25,-147.96,250.0
NiCo,48.0,-130.0,98.1,47.58,-123.35,499.0
NiCo,52.0,-128.0,98.1,54.88,-131.24,385.0
NiCo,48.0,-104.0,98.1,47.03,-109.62,436.0
NiCo,56.0,-142.0,98.0,57.88,-136.47,395.0
NiCo,52.0,-84.0,98.0,50.0,-85.0,233.0
NiCo,52.0,-82.0,98.0,49.72,-79.97,291.0
NiCo,54.0,-120.0,97.9,51.38,-120.06,291.0
NiCo,38.0,-128.0,97.9,39.02,-123.3,424.0
NiCo,54.0,-122.0,97.9,51.38,-120.06,319.0
NiCo,54.0,-118.0,97.8,53.7,-113.2,317.0
NiCo,50.0,-130.0,97.8,47.58,-123.35,556.0
NiCo,54.0,-124.0,97.7,51.38,-120.06,394.0
NiCo,54.0,-126.0,97.6,54.88,-131.24,353.0
NiCo,54.0,-128.0,97.5,54.88,-131.24,231.0
NiCo,50.0,-104.0,97.5,53.17,-107.77,438.0
NiCo,56.0,-144.0,97.5,59.9,-144.42,434.0
NiCo,34.0,-90.0,97.5,34.58,-92.61,248.0
NiCo,40.0,-130.0,97.5,39.91,-123.67,540.0
NiCo,52.0,-130.0,97.5,54.88,-131.24,331.0
NiCo,54.0,-136.0,97.4,55.53,-133.65,227.0
NiCo,36.0,-126.0,97.4,38.16,-122.64,383.0
NiCo,62.0,-130.0,97.3,62.5,-134.2,224.0
NiCo,46.0,-102.0,97.3,47.04,-96.46,439.0
NiCo,66.0,-136.0,97.2,65.18,-141.06,250.0
NiCo,48.0,-102.0,97.2,47.04,-96.46,429.0
NiCo,44.0,-102.0,97.2,42.4,-105.36,325.0
NiCo,54.0,-138.0,97.1,55.53,-133.65,327.0
NiCo,50.0,-102.0,97.0,53.5,-100.5,403.0
NiCo,38.0,-74.0,96.9,40.1,-75.52,268.0
NiCo,42.0,-102.0,96.9,41.98,-105.26,269.0
NiCo,-30.0,126.0,96.9,-28.08,123.5,323.0
NiCo,52.0,-104.0,96.9,53.17,-107.77,286.0
NiCo,56.0,-146.0,96.9,59.9,-144.42,444.0
NiCo,50.0,-100.0,96.8,50.25,-96.0,286.0
NiCo,56.0,-126.0,96.8,56.02,-130.41,274.0
NiCo,-10.0,30.0,96.8,-11.37,27.59,304.0
NiCo,36.0,-76.0,96.8,38.3,-77.88,305.0
NiCo,52.0,-132.0,96.8,54.88,-131.24,324.0
NiCo,38.0,-94.0,96.7,37.64,-91.18,251.0
NiCo,-8.0,28.0,96.7,-6.25,29.83,280.0
NiCo,-8.0,26.0,96.7,-10.58,26.15,287.0
NiCo,-34.0,124.0,96.7,-32.05,122.8,244.0
NiCo,32.0,-88.0,96.7,33.46,-85.78,264.0
NiCo,-14.0,24.0,96.7,-12.32,25.37,239.0
NiCo,54.0,-140.0,96.6,56.42,-134.96,418.0
NiCo,48.0,-100.0,96.6,47.04,-96.46,286.0
NiCo,-32.0,126.0,96.6,-32.05,122.8,302.0
NiCo,40.0,-102.0,96.6,39.42,-105.11,274.0
NiCo,44.0,-132.0,96.6,42.35,-124.3,651.0
NiCo,46.0,-132.0,96.6,47.57,-123.35,681.0
NiCo,-22.0,32.0,96.5,-20.43,30.35,244.0
NiCo,34.0,-78.0,96.5,35.89,-80.77,328.0
NiCo,66.0,-134.0,96.5,63.63,-135.51,273.0
NiCo,-28.0,126.0,96.5,-28.08,123.5,246.0
NiCo,40.0,-94.0,96.5,38.13,-91.05,329.0
NiCo,44.0,-94.0,96.4,43.61,-90.75,264.0
NiCo,34.0,-124.0,96.4,35.81,-121.32,317.0
NiCo,62.0,-128.0,96.4,62.5,-134.2,326.0
NiCo,48.0,-132.0,96.4,47.58,-123.35,648.0
NiCo,50.0,-132.0,96.4,54.88,-131.24,545.0
NiCo,-18.0,26.0,96.3,-20.66,26.0,296.0
NiCo,46.0,-100.0,96.3,47.04,-96.46,294.0
NiCo,56.0,-148.0,96.3,59.26,-151.56,420.0
NiCo,56.0,-124.0,96.3,56.02,-130.41,398.0
NiCo,-30.0,116.0,96.3,-32.25,115.77,251.0
NiCo,64.0,-130.0,96.2,63.2,-134.35,233.0
